Sample number,Location,Object/Surface,Date collected,CDC_N1Primer_SARS_CoV2_Ct,CDC_N2Primer_SARS_CoV2_Ct,Berlin_RdRPPrimers_SARS_CoV2_Ct,InternalHumanControl_RnaseP_Ct,Quan,Actin,Notes,,,,,,,,,,,,,,,,,,,,
,,Positive Control,,27,29,29,28,Positive,,,,,,,,,,,,,,,,,,,,,,
1,Hospitalist room P2,food table,4/25/2020,Undetermined,Undetermined,Undetermined,Undetermined,Negative,Negative,,,,,,,,,,,,,,,,,,,,,
2,Hospitalist room P2,Keyboard,4/25/2020,Undetermined,Undetermined,Undetermined,35.45769882,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
3,Hospitalist room P2,conference table,4/25/2020,Undetermined,Undetermined,Undetermined,35.25476074,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
4,Hospitalist room P2,armrest (chair at conference table),4/25/2020,Undetermined,Undetermined,Undetermined,32.63634109,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
5,Residents' room T5,"Door knob/keypad, interior",4/25/2020,Undetermined,Undetermined,Undetermined,33.57764053,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
6,Residents' room T5,Keyboard,,,,,,,,"""Duplicate"", Given to Dr. Gong",,,,,,,,,,,,,,,,,,,,
7,Residents' room T5,microwave panel and door,4/25/2020,Undetermined,Undetermined,Undetermined,37.18863678,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
8,Residents' room T5,Telephone,4/25/2020,Undetermined,Undetermined,41.95(4-30-20)-und(5-6-20),34.33527374,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
9,Residents' room T5,Keyboard,4/25/2020,Undetermined,Undetermined,Undetermined,37.1913414,Negative,Negative,"""Duplicate""",,,,,,,,,,,,,,,,,,,,
10,Residents' room D6,Keyboard,4/25/2020,Undetermined,Undetermined,Undetermined,36.73991394,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
11,Residents' room D6,conference table,4/25/2020,Undetermined,Undetermined,Undetermined,32.86558533,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
12,Residents' room D6,"Door knob/keypad, interior",4/25/2020,Undetermined,Undetermined,Undetermined,32.8313179,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
13,Residents' room D6,Telephone,4/25/2020,Undetermined,Undetermined,Undetermined,31.16259384,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
14,Residents' room D6,"armrest (chair at conference table) AND ""desktop""",4/25/2020,Undetermined,Undetermined,Undetermined,30.55024529,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
15,Patient room D14,bedrails (L),,,,,,,,"""Duplicate"", Given to Dr. Gong",,,,,,,,,,,,,,,,,,,,
16,Patient room D14,bedrails (R),4/25/2020,Undetermined,Undetermined,Undetermined,35.4140892,Negative,Positive,"""Duplicate""",,,,,,,,,,,,,,,,,,,,
17,Patient room D14,IV pump console,4/25/2020,Undetermined,Undetermined,Undetermined,36.50719833,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
18,Patient room D14,02 wall dial,4/25/2020,Undetermined,Undetermined,Undetermined,28.39535141,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
19,Patient room D14,marker/pen,4/25/2020,Undetermined,Undetermined,Undetermined,Undetermined,Negative,Negative,,,,,,,,,,,,,,,,,,,,,
20,Patient room D14,Floor,4/25/2020,35.92,38.71,Undetermined,33.72290039,Negative,Positive,"""Duplicate""",,,,,,,,,,,,,,,,,,,,
21,Patient room D14,thermometer handle,4/25/2020,Undetermined,Undetermined,Undetermined,Undetermined,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
22,Patient room D14,propac,4/25/2020,Undetermined,Undetermined,Undetermined,38.05001831,Negative,Negative,,,,,,,,,,,,,,,,,,,,,
23,Patient room D14,mouse,4/25/2020,Undetermined,Undetermined,Undetermined,34.42510605,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
24,Patient room D14,Keyboard,4/25/2020,Undetermined,Undetermined,Undetermined,35.5810585,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
25,Patient room D14,rover,4/25/2020,Undetermined,Undetermined,Undetermined,Undetermined,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
26,Patient room D14,Ergotron,4/25/2020,Undetermined,Undetermined,Undetermined,35.86373138,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
27,Patient room D14,Floor,4/25/2020,32.09,33.72,43.65(4-30-20)-43.72(5-6-20),29.93129158,Positive,Positive,"""Duplicate""",,,,,,,,,,,,,,,,,,,,
28,Patient room D14,IV bag,4/25/2020,Undetermined,Undetermined,Undetermined,Undetermined,Negative,Negative,,,,,,,,,,,,,,,,,,,,,
29,Patient room D14,Nightstand,4/25/2020,Undetermined,Undetermined,Undetermined,37.15316772,Negative,Positive,,,,,,,,,,,,,,,,,,,,,
